SJ_number,Species,sub_species,race,Kris_clade,cluster,my_clades,sample_type,lat,long,location,Drainage,City/road,County,State,temp_number,sample_number,field_number,Date_collected,Date extracted,Cytb_amp,ddRAD,ddRAD plate,filtered_out_95,Collector,University,Qubit_con_1(ng/ml),Fancy_number,Loan_number,strange_topology
NR02,C_venusta,cercostigma,Eastern_Gulf,unknown,na,na,whole_sp,30.505533,-90.546141,Natalby_River,Pontchartrain,US_Highway_190,Tangipahoa,LA,20CVNR02,na,na,9/7/2020,10/14/2020,12/14/2020,not_sent,na,na,"Johnson, Sherman, Piller",SELU,4.46,C_ven_1007,na,na
NR03,C_venusta,cercostigma,Eastern_Gulf,unknown,na,na,whole_sp,30.505533,-90.546141,Natalby_River,Pontchartrain,US_Highway_190,Tangipahoa,LA,20CVNR03,na,na,9/7/2020,10/14/2020,12/14/2020,not_sent,na,na,"Johnson, Sherman, Piller",SELU,4.43,C_ven_1008,na,na
NR04,C_venusta,cercostigma,Eastern_Gulf,unknown,na,na,whole_sp,30.505533,-90.546141,Natalby_River,Pontchartrain,US_Highway_190,Tangipahoa,LA,20CVNR04,na,na,9/7/2020,10/14/2020,12/14/2020,not_sent,na,na,"Johnson, Sherman, Piller",SELU,3.82,C_ven_1009,na,na
NR09,C_venusta,cercostigma,Eastern_Gulf,unknown,na,na,whole_sp,30.505533,-90.546141,Natalby_River,Pontchartrain,US_Highway_190,Tangipahoa,LA,20CVNR09,na,na,9/7/2020,10/14/2020,12/14/2020,not_sent,na,na,"Johnson, Sherman, Piller",SELU,3.78,C_ven_1014,na,na
DR03,C_venusta,venusta,Western_Gulf,West_tx,na,na,tissue,29.9671,-101.1492,Devils_river,Rio_Grande,"Devil's River at Bakers Crossing, FM165",Val_Verde,TX,13CVDR03,TCWC_16325.04_C,na,4/20/2013,12/9/2020,na,not_sent,na,na,"Conway, K.W., Kim, D.-M., & Krabbenhoft, T.",TXAM,1,C_ven_1044,na,na
DR05,C_venusta,venusta,Western_Gulf,West_tx,na,na,tissue,29.9671,-101.1492,Devils_river,Rio_Grande,"Devil's River at Bakers Crossing, FM167",Val_Verde,TX,13CVDR05,TCWC_16325.04_E,na,4/20/2013,12/9/2020,na,not_sent,na,na,"Conway, K.W., Kim, D.-M., & Krabbenhoft, T.",TXAM,4.28,C_ven_1046,na,na
NU03,C_venusta,venusta,Western_Gulf,West_tx,na,na,tissue,29.61777,-100.0091,Nueces_river,Nueces,Nueces River at FM57,Uvalde,TX,13CVNU03,TCWC_16326.06_C,na,4/20/2013,12/9/2020,na,not_sent,na,na,"Conway, K.W., Kim, D.-M., & Krabbenhoft, T.",TXAM,1,C_ven_1049,na,na
NU04,C_venusta,venusta,Western_Gulf,West_tx,na,na,tissue,29.61777,-100.0091,Nueces_river,Nueces,Nueces River at FM58,Uvalde,TX,13CVNU04,TCWC_16326.06_D,na,4/20/2013,12/9/2020,na,not_sent,na,na,"Conway, K.W., Kim, D.-M., & Krabbenhoft, T.",TXAM,1,C_ven_1050,na,na
TR01,C_venusta,venusta,Western_Gulf,East_tx,na,na,tissue,31.31906,-95.66883,Trinity_river,Trinity," On a point sand bar on the middle Trinity River near the crossing with State Highway 7, approximately 13 miles west of Crockett",Leon,TX,13CVTR01,TCWC_16945.03,na,5/1/2013,12/9/2020,na,not_sent,na,na,"Rodger, A.",TXAM,2.26,C_ven_1052,na,na
WR01,C_venusta,venusta,Western_Gulf,unknown,na,na,tissue,35.982718,-91.336776,Strawberry_White_River,White_River,"Reeds Creek at AR 117, ~3.2 km N of Strawberry",Lawrence,AK,04CVWR01,TJN_2755,na,5/26/2014,1/16/2021,na,not_sent,na,na,"Near, T., Watkins_Cowell, G.",Yale,1.43,C_ven_1058,na,na
WR02,C_venusta,venusta,Western_Gulf,unknown,na,na,tissue,35.982718,-91.336776,Strawberry_White_River,White_River,"Reeds Creek at AR 117, ~3.2 km N of Strawberry",Lawrence,AK,04CVWR02,TJN_2756,na,5/26/2014,1/16/2021,na,not_sent,na,na,"Near, T., Watkins_Cowell, G.",Yale,0,C_ven_1059,na,na
RR02,C_venusta,venusta,Red_Lower_Miss,unknown,na,na,tissue,34.250776,-96.550193,Blue_River,Red_River,"Blue River at OK 48a, ~1.0 km N of Milburn",Johnston,OK,04CVRR02,TJN_2800,na,6/1/2004,1/16/2021,na,not_sent,na,na,"Near, T., Watkins_Cowell, G.",Yale,1.64,C_ven_1061,na,na
ER01,C_venusta,stigmatura,Stigmatura,Mobile,na,na,tissue,34.414911,-84.366803,Long_Swamp_Creek,Etowah,"Long Swamp Creek, at GA 53 at Tate",Pickens,GA,08CVER01,TJN_13030,na,8/17/2008,1/12/2021,na,not_sent,na,na,"Near, T., Watkins_Cowell, G.",Yale,1.27,C_ven_1066,na,na
na,C_venusta,cercostigma,Eastern_Gulf,Pearl_Pascagoula,na,na,tissue,30.280065,-89.630769,Pearl_River,Pearl,"Pearl River near Possum Trail Head, ~5 km N of Pearlington",Hancock,MS,na,TJN_32068,na,5/6/2018,na,na,not_sent,na,na,"Near, T., Watkins_Cowell, G.",Yale,na,C_ven_1068,na,na
na,C_venusta,cercostigma,Eastern_Gulf,unknown,na,na,tissue,30.483593,-90.556746,Natalby_River,Pontchartrain,"Natalbany River at  Old Baton Rouge Hwy/ Louisiana 1040, ~3 km SW of Baptist, Tangipahoa Parish, Louisiana (~9 km W of Hammond)",Tangipahoa,LA,na,TJN_32088,na,5/7/2018,na,na,not_sent,na,na,"Near, T., Watkins_Cowell, G.",Yale,na,C_ven_1069,na,na
na,C_venusta,cercostigma,Eastern_Gulf,unknown,na,na,tissue,30.483593,-90.556746,Natalby_River,Pontchartrain,"Natalbany River at  Old Baton Rouge Hwy/ Louisiana 1040, ~3 km SW of Baptist, Tangipahoa Parish, Louisiana (~9 km W of Hammond)",Tangipahoa,LA,na,TJN_32093,na,5/7/2018,na,na,not_sent,na,na,"Near, T., Watkins_Cowell, G.",Yale,na,C_ven_1070,na,na
FR03,C_venusta,cercostigma,Eastern_Gulf,Apalachicola,na,na,tissue,31.580017,-84.146133,Flint_river,Flint,Albany,Doughtery,GA,20CVFR03,na,na,10/15/2020,1/19/2021,na,not_sent,na,na,Otto Lorenz,Georgia_Southwestern_State_University,3.41,C_ven_1073,na,na
FR05,C_venusta,cercostigma,Eastern_Gulf,Apalachicola,na,na,tissue,32.069439,-84.246383,Town_creek,Flint,Americus,Sumter,GA,20CVFR05,na,na,11/12/2020,1/19/2021,na,not_sent,na,na,Otto Lorenz,Georgia_Southwestern_State_University,0,C_ven_1075,na,na
FR06,C_venusta,cercostigma,Eastern_Gulf,Apalachicola,na,na,tissue,32.069439,-84.246383,Town_creek,Flint,Americus,Sumter,GA,20CVFR06,na,na,11/12/2020,1/19/2021,na,not_sent,na,na,Otto Lorenz,Georgia_Southwestern_State_University,0,C_ven_1076,na,na
TB03,C_venusta,stigmatura,Stigmatura,Mobile,na,na,tissue,34.022197,-88.503259,Eastern_Fork_Tombigbee,Tombigbee,Bigbee,Monroe,MS,20CVTB03,na,na,11/16/2020,1/12/2021,na,not_sent,na,na,Matthew Wagner,Mississippi_Museum_of_Natural_Science,1,C_ven_1081,na,na
OR01,C_venusta,cercostigma,Eastern_Gulf,unknown,na,na,tissue,31.00275,-83.93931,Little_Ochlocknee_River,Ochlocknee,"Little Ochlocknee River at Rte 188, about 1 mile E of Ochlocknee",Thomas,GA,21CVOR01,172737,23351,8/9/2008,2/5/2021,na,not_sent,na,na,"Page, Lawrence; Ennis, Bradley",FLMNH_Ichthyology,1,C_ven_1085,na,na
AR06,C_venusta,cercostigma,Eastern_Gulf,Apalachicola,na,na,tissue,30.582222,-84.96306,Apalachicola_river,Apalachicola,"Apalachicola River, 2.5 mi E of Ocheesee, Ocheesee Landing",Calhoun,FL,21CVAR06,239421,95011,6/16/2016,2/5/2021,na,not_sent,na,na,"Page, Lawrence; Flemming, Adania; Randall, Zachary",FLMNH_Ichthyology,1.63,C_ven_1091,na,na
UC07,C_venusta,cercostigma,Upper_Chatt,Apalachicola,na,na,tissue,32.79593,-85.02377,Mountain_Oak_Creek,Chattahoochee,Mountain Oak Creek,Harris,GA,21CVUC07,na,na,10/14/2020,2/16/2021,na,not_sent,na,na,"Bowen, Bryant",Georgia_DNR,na,C_ven_1098,na,na
UC08,C_venusta,cercostigma,Upper_Chatt,Apalachicola,na,na,tissue,32.78637,-84.86606,Palmetto_Creek,Chattahoochee,Palmetto Creek,Harris,GA,21CVUC08,na,na,10/14/2020,2/16/2021,na,not_sent,na,na,"Bowen, Bryant",Georgia_DNR,na,C_ven_1099,na,na
UC09,C_venusta,cercostigma,Upper_Chatt,Apalachicola,na,na,tissue,32.78637,-84.86606,Palmetto_Creek,Chattahoochee,Palmetto Creek,Harris,GA,21CVUC09,na,na,10/14/2020,2/16/2021,na,not_sent,na,na,"Bowen, Bryant",Georgia_DNR,na,C_ven_1100,na,na
